#indacator:tab
#html:false
FG	[U' L U, S']
VT	[Uw2 R: [E, R2]]
VU	[R2 U: [M', U2]]
VW	[R2 U': [M, U2]]
VX	[L2, S]
WF	[Lw Uw' L': [E', L2]]
WG	[L B' L', S']
WH	[Lw U: [R' E R, U]]
WJ	[R U: [M, U2]]
WK	[Lw': [M', U L U']]
WL	[L', U' M2 U]
WN	[Rw': [Rw' F Rw, S]]
WO	[D' R' F' R: [S, R2]]
WP	[Rw: [S', L F L']]
WR	[L, U' M2 U]
WT	[R' U: [M, U2]]
WU	Uw' M Uw2 M Uw'
WV	[R2 U: [M, U2]]
WX	[L D' L: [S, L2]]
XF	[E L': [E', L2]]
XH	[E' L: [E, L2]]
XJ	[L': [E', L2]]
XK	[S U': [M', U2]]
XL	[E2 L: [E, L2]]
XN	[E' L': [E', L2]]
XO	[U': [S', R F R']]
XP	[E L: [E, L2]]
XR	[E2 L': [E', L2]]
XS	[S U: [M, U2]]
XT	[L: [E, L2]]
XU	[L D L': [S, L2]]
XV	[S, L2]
XW	[L D' L': [S, L2]]
