#indacator:tab
#html:false
HC	[E R': [E, R2]]
HW	[Lw: [S', Lw F' Lw']]
HZ	[U Uw L': [E, L2]]
JD	[L' E2 L, U2]
JE	[U' M' U, R]
JF	[U': [R U R', E]]
JG	[D: [U M' U', R]]
JH	[R U: [E', R' U' R]]
JK	[U M' U', R]
JL	[U R' U' R: [E, R2]]
JN	[U: [R U' R', E']]
JO	[R U': [E, R' U R]]
JR	[U R' U' R': [E', R2]]
JS	[U' M U, R]
JT	[U2 R': [S, R2]]
JU	[U' M2 U, R]
JC	[E2 R: [E', R2]]
JW	[U M2 U', R]
JZ	[U2 L: [E', L2]]
KD	[M U': [M, U2]]
KE	[S, R' F' R]
KF	[R': [E, Rw U' Rw']]
KG	[D: [R' F' R, S']]
KH	[M': [R E' R', U']]
KJ	[R, U M' U']
KL	[U: [U L' U', M']]
KN	[Lw' U: [U, Lw' E Lw]]
KO	[S', R' F' R]
KP	[Lw' U: [U, Lw E' Lw']]
KR	[Lw U': [M, U2]]
KS	M' U M U2 M U' M' U2
KT	[R', U M' U']
KC	[S' U': [M', U2]]
KW	[Rw: [U' R' U, M']]
KZ	[L F L: [S', L2]]
LD	[U2, R E2 R']
LE	[S, R' F2 R]
LG	[Lw': [R' E R, U2]]
LH	[L' U2 L, E]
LJ	[U R' U' R': [E, R2]]
LK	[U: [M', U L' U']]
LN	[L': [U2, L' E L]]
LO	[S', R' F2 R]
LP	[L' U2 L, E']
LR	[L: [S', L2]]
LS	[Lw' U': [M', U2]]
LT	[U R U' R': [E, R2]]
LU	[D R': [E, R2]]
LC	[R': [E, R2]]
LW	[D' R': [E, R2]]
LZ	[Uw2 L': [E, L2]]
ND	[L' E L, U2]
NE	[L' B2 L, S']
NF	[Uw' R' U R: [E', R2]]
NG	[U L F': [L2, E]]
NH	[E L': [S', L2]]
NJ	[U: [E', R U' R']]
NK	[Lw' U: [Lw' E Lw, U]]
NL	[L': [L' E L, U2]]
NO	[U' R U, S]
NP	[S' R: [S, R2]]
NR	[E, L U2 L']
NS	[Lw U': [Lw' E Lw, U']]
NU	[Fw' R: [S, R2]]
NC	[E R: [E', R2]]
NW	[Rw' U': [U', L E' L']]
NZ	[U Uw L: [E', L2]]
OD	[U2, R E R']
OE	[D': [S, R' F' R]]
OF	[S, R F2 R']
OG	[U R' F R: [S', R2]]
OH	[S, R' B2 R]
OJ	[R U': [R' U R, E]]
OK	[R' F' R, S']
OL	[R' F2 R, S']
ON	[S, U' R U]
OP	[S, U R' U']
OR	[R B2 R', S']
OS	[R B R', S']
OT	[R' U: [R U' R', E']]
OU	[S, R F' R']
OW	[S, R' B R]
OZ	[U: [R F R', S']]
PD	[L E' L', U2]
PE	[L F2 L', S']
PF	[E' L: [S', L2]]
PG	[U M' U' L: [E', L2]]
PH	[Uw R U' R': [E, R2]]
PK	[Lw' U: [Lw E' Lw', U]]
PL	[E', L' U2 L]
PN	[S' R': [S, R2]]
PO	[U R' U', S]
PR	[Uw' R': [U, R' E R]]
PS	[Lw U': [Lw E' Lw', U']]
PT	[U': [E, R' U R]]
PU	[L F: [F, L' S' L]]
PC	[E' R': [E, R2]]
PW	[Rw' Uw R': [E, R2]]
PZ	[U' Uw' L': [E, L2]]
RD	[U2, R' E2 R]
RE	[S, R B2 R']
RF	[L U2 L', E']
RG	[Lw: [R E' R', U2]]
RJ	[U R' U' R: [E', R2]]
RK	[Lw U: [M, U2]]
RL	[L': [S', L2]]
RN	[L U2 L', E]
RO	[S', R B2 R']
RP	[Uw' R': [R' E R, U]]
RS	[U': [M, U' L U]]
RT	[U R U' R: [E', R2]]
