#indacator:tab
#html:false
MA	[U M U': [M', U2]]
MD	[R' F R, S]
ME	[M U': [M', U2]]
MF	[M L' U': [M', U2]]
MG	[L F' L': [S', L2]]
MH	[Lw U': [M', U2]]
MJ	[R U2: [R' S' R, U']]
MK	[Rw: [M', U R' U']]
ML	[S U' R: [E, R2]]
MN	[S': [U, L' E L]]
MO	[F' R: [E, R2]]
MP	[S': [U, L E' L']]
MQ	[R U R' U', M']
MR	[S U' R': [E', R2]]
MS	M' (U' M' U' M)2 M
MT	[R Uw' R: [E', R2]]
MU	[R F': [E, R2]]
MC	[R' F R, S']
MW	[D': [R' F R, S']]
MZ	[R': [F, R' S' R]]
NA	[U': [L' E L, U2]]
NB	[U2: [L' E L, U']]
ND	[L' E L, U]
NE	[Rw' U': [M', U2]]
NF	[Rw U R: [E, R2]]
NG	[L F': [L2, E]]
NH	[Uw R': [S, R2]]
NJ	[E', R U' R']
NK	[M': [M', U R' U']]
NL	[L2: [E, L U L']]
NM	[S': [L' E L, U]]
NO	[R, U' S U]
NP	[M' U' R: [S, R2]]
NQ	[U R' U', M']
NR	[E, L U L']
NS	[U M: [U', R' S' R]]
NU	[F': [E, R2]]
NC	[Uw' R: [E', R2]]
NW	[M: [U R' U', M2]]
NZ	[Uw L: [E', L2]]
OA	[U: [R E R', U2]]
OB	[R' E' R, U']
OD	[U2: [R E R', U]]
OE	[R' F R': [S, R2]]
OF	[S': [U', R' E R]]
OG	[R' F R: [S', R2]]
OH	[R' F: [E', R2]]
OJ	[R' Fw R: [S', R2]]
OK	[U': [R' F' R, S']]
OL	[R E: [R' U' R, E]]
OM	[F' R': [E, R2]]
ON	[U' S U, R]
OP	[U' S U, R']
OQ	[U' D': [S, R' F' R]]
OR	[R' E': [R U' R', E']]
OS	[U': [R B R', S']]
OT	[S U L: [E, L2]]
OU	[R' F': [E, R2]]
OW	[U': [S, R' B R]]
OZ	[R F R', S']
PA	[U': [L E' L', U2]]
PB	[U2: [L E' L', U']]
PD	[L E' L', U]
PE	[R M U': [M', U2]]
PF	[U E R: [S, R2]]
PG	[S: [L E' L', U]]
PH	[Lw' U' L: [E', L2]]
PK	[M': [M', U R U']]
